,City,⭐️ Total score,👍 Quality of life score,👶 Family score,💵 Cost,📡 Internet,😝 Fun,⛅️ Temperature (now),💦 Humidity (now),💨 Air quality (now),💨 Air quality (annual),👌 Safety,👮‍♀️ Lack of crime*,🤝 Lack of racism*,🎓 Education level*,💰 Income level*,🙊 English speaking*,😤 People density,🚶 Walkability,✌️ Peace (no pol. conflict),🚦 Traffic safety*,🏥 Hospitals*,😄 Happiness*,🍸 Nightlife,📶 Free WiFi in city,🖥 Places to work from,❄️ A/C or heating,😁 Friendly to foreigners,🗯 Freedom of speech*,👩 Female friendly,🌈 LGBTQ+ friendly,🎅 Startup Score
942,Rethymno,"⭐️ Total score
2.87/5 (Rank #943)
226 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
🧐 Pricey: $3,366 / mo","📡 Internet
🏎 Fast: 15Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Nice: 20°C (feels 21°C)","💦 Humidity (now)
😊 Comfy: 83%","💨 Air quality (now)
🌱 Good: 53 US AQI",None,"👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
High","💰 Income level*
Low: $1,436 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Great","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Good","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Okay","🎅 Startup Score
Okay"
943,Agra,"⭐️ Total score
2.87/5 (Rank #944)
212 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
😙 Affordable: $1,067 / mo","📡 Internet
🙂 Good: 9Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Perfect: 24°C (feels 24°C)","💦 Humidity (now)
😊 Comfy: 47%","💨 Air quality (now)
😷 Unhealthy : 187 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 119 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Bad","🎓 Education level*
Low","💰 Income level*
Very low: $142 / mo","🙊 English speaking*
Good",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Bad","🍸 Nightlife
Okay","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Okay","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Okay"
944,Asmara,"⭐️ Total score
2.87/5 (Rank #945)
206 reviews","👍 Quality of life score
Bad","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,101 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Nice: 20°C (feels 20°C)","💦 Humidity (now)
😊 Comfy: 68%","💨 Air quality (now)
🌱 Great: 34 US AQI",None,"👌 Safety
🧨 Conflict / political instability*","👮‍♀️ Lack of crime*
Okay","🤝 Lack of racism*
Bad","🎓 Education level*
Very low","💰 Income level*
Very low: $91 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,None,"🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Bad","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
945,"Plantation, FL","⭐️ Total score
2.86/5 (Rank #946)
199 reviews","👍 Quality of life score
Good","👶 Family score
Good","💵 Cost
🧐 Too expensive: $4,258 / mo","📡 Internet
🏎 Fast: 32Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🌞 Perfect: 24°C (feels 24°C)","💦 Humidity (now)
😊 Comfy: 85%","💨 Air quality (now)
🌱 Great: 39 US AQI","💨 Air quality (annual)
🌱 Great: 16 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Good","🎓 Education level*
High","💰 Income level*
Very high: $4,817 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Good","🍸 Nightlife
Okay","📶 Free WiFi in city
Good",None,None,None,"🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
946,Santa Marta,"⭐️ Total score
2.86/5 (Rank #947)
220 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,291 / mo","📡 Internet
🙂 Good: 10Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥵 Too hot: 30°C (feels 41°C)","💦 Humidity (now)
🥵 Sweaty: 94%","💨 Air quality (now)
🌱 Great: 50 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 101 US AQI","👌 Safety
Bad","👮‍♀️ Lack of crime*
Very bad","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $484 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Good","🍸 Nightlife
Bad","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Okay","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Bad"
947,Abidjan,"⭐️ Total score
2.86/5 (Rank #948)
196 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $2,113 / mo","📡 Internet
😡 Slow: 3Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥵 Too hot: 30°C (feels 40°C)","💦 Humidity (now)
🥵 Sweaty: 91%","💨 Air quality (now)
🌱 Good: 61 US AQI",None,"👌 Safety
Okay",None,None,"🎓 Education level*
Low","💰 Income level*
Very low: $129 / mo","🙊 English speaking*
Bad","😤 People density
🤨 Busy: 15k ppl/km² (8x8m)","🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Bad","🍸 Nightlife
Good","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Bad",None,"👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
948,Sulaymaniyah,"⭐️ Total score
2.86/5 (Rank #949)
192 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
🙂 Okay: $2,656 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Nice: 18°C (feels 18°C)","💦 Humidity (now)
😊 Comfy: 46%","💨 Air quality (now)
🌱 Great: 38 US AQI",None,"👌 Safety
Bad",None,"🤝 Lack of racism*
Okay",None,"💰 Income level*
Very low: $583 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Great",None,"🚦 Traffic safety*
Okay",None,None,"🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Good",None,"👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
949,"Sarasota, FL","⭐️ Total score
2.86/5 (Rank #950)
202 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Too expensive: $4,116 / mo","📡 Internet
🏎 Fast: 43Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🌞 Nice: 19°C (feels 20°C)","💦 Humidity (now)
😊 Comfy: 78%","💨 Air quality (now)
🌱 Good: 51 US AQI",None,"👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Good","🎓 Education level*
High","💰 Income level*
Very high: $4,817 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Good","🍸 Nightlife
Okay","📶 Free WiFi in city
Good","🖥 Places to work from
Bad",None,None,"🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
950,Tehran,"⭐️ Total score
2.86/5 (Rank #951)
240 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,360 / mo","📡 Internet
😡 Slow: 5Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥶 Too cold: 12°C (feels 12°C)","💦 Humidity (now)
😊 Comfy: 62%","💨 Air quality (now)
😷 Unhealthy for some: 132 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 106 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $442 / mo","🙊 English speaking*
Bad","😤 People density
🤨 Busy: 11k ppl/km² (10x10m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Great","😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Bad","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
951,"Oshkosh, WI","⭐️ Total score
2.86/5 (Rank #952)
197 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
🧐 Too expensive: $4,396 / mo","📡 Internet
🏎 Fast: 48Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 Too cold: 1°C (feels -1°C)","💦 Humidity (now)
💦 Damp: 83%","💨 Air quality (now)
🌱 Great: 13 US AQI","💨 Air quality (annual)
🌱 Great: 23 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Good","🎓 Education level*
High","💰 Income level*
Very high: $4,817 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Bad","😄 Happiness*
Good","🍸 Nightlife
Okay","📶 Free WiFi in city
Good",None,None,None,"🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
952,Yokohama,"⭐️ Total score
2.86/5 (Rank #953)
219 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🙂 Okay: $2,856 / mo","📡 Internet
🏎 Fast: 26Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Nice: 18°C (feels 18°C)","💦 Humidity (now)
😊 Comfy: 63%","💨 Air quality (now)
🌱 Great: 25 US AQI","💨 Air quality (annual)
🌱 Good: 56 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
High","💰 Income level*
High: $3,220 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay","🏥 Hospitals*
Good","😄 Happiness*
Okay","🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Good","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
953,Alesund,"⭐️ Total score
2.86/5 (Rank #954)
218 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Pricey: $3,918 / mo","📡 Internet
🚀 Super fast: 68Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 Too cold: 10°C (feels 8°C)","💦 Humidity (now)
💦 Damp: 73%","💨 Air quality (now)
🌱 Great: 4 US AQI",None,"👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Good","🎓 Education level*
Very high","💰 Income level*
Very high: $5,885 / mo","🙊 English speaking*
Good",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Good","🚦 Traffic safety*
Okay","🏥 Hospitals*
Good","😄 Happiness*
Great","🍸 Nightlife
Okay",None,"🖥 Places to work from
Good","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Great","👩 Female friendly
Great","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
954,Kano,"⭐️ Total score
2.86/5 (Rank #955)
205 reviews","👍 Quality of life score
Bad","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,934 / mo","📡 Internet
😡 Slow: 4Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥵 Too hot: 33°C (feels 31°C)","💦 Humidity (now)
🌵 Too dry: 21%","💨 Air quality (now)
😐 Moderate: 85 US AQI",None,"👌 Safety
Okay","👮‍♀️ Lack of crime*
Okay",None,"🎓 Education level*
Low","💰 Income level*
Very low: $181 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Okay","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
955,Soweto,"⭐️ Total score
2.86/5 (Rank #956)
207 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $2,165 / mo","📡 Internet
🏎 Fast: 12Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 28°C (feels 29°C)","💦 Humidity (now)
😊 Comfy: 55%","💨 Air quality (now)
🌱 Good: 61 US AQI","💨 Air quality (annual)
😐 Moderate: 81 US AQI","👌 Safety
Okay","👮‍♀️ Lack of crime*
Very bad","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $425 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Good","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Bad"
956,Nouakchott,"⭐️ Total score
2.86/5 (Rank #957)
201 reviews","👍 Quality of life score
Bad","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,807 / mo","📡 Internet
😡 Slow: 3Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥵 Too hot: 31°C (feels 37°C)","💦 Humidity (now)
😊 Comfy: 69%",None,None,"👌 Safety
Bad","👮‍♀️ Lack of crime*
Bad","🤝 Lack of racism*
Bad","🎓 Education level*
Very low","💰 Income level*
Very low: $90 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Bad","🗯 Freedom of speech*
Good","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
957,Gibraltar,"⭐️ Total score
2.86/5 (Rank #958)
215 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Too expensive: $4,463 / mo","📡 Internet
🏎 Fast: 27Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🌞 Nice: 19°C (feels 19°C)","💦 Humidity (now)
😊 Comfy: 73%","💨 Air quality (now)
🌱 Great: 11 US AQI","💨 Air quality (annual)
🌱 Great: 32 US AQI","👌 Safety
Okay",None,"🤝 Lack of racism*
Okay",None,"💰 Income level*
Very high: $7,737 / mo","🙊 English speaking*
Great",None,"🚶 Walkability
Great",None,"🚦 Traffic safety*
Okay",None,None,"🍸 Nightlife
Okay","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Good",None,"👩 Female friendly
Good","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Okay"
958,Bilbao,"⭐️ Total score
2.85/5 (Rank #959)
236 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Pricey: $3,543 / mo","📡 Internet
🏎 Fast: 28Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥶 Too cold: 14°C (feels 14°C)","💦 Humidity (now)
💦 Damp: 93%","💨 Air quality (now)
🌱 Great: 22 US AQI","💨 Air quality (annual)
🌱 Great: 49 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
High","💰 Income level*
Mediocre: $2,225 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 9k ppl/km² (11x11m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Good","🍸 Nightlife
Bad","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
959,Giza,"⭐️ Total score
2.85/5 (Rank #960)
218 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,067 / mo","📡 Internet
🙂 Good: 6Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🌞 Perfect: 25°C (feels 25°C)","💦 Humidity (now)
😊 Comfy: 73%","💨 Air quality (now)
😷 Unhealthy for some: 123 US AQI","💨 Air quality (annual)
🌱 Great: 34 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Very low: $235 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Good","😄 Happiness*
Bad","🍸 Nightlife
Good","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Bad","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
960,Ankara,"⭐️ Total score
2.85/5 (Rank #961)
256 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,123 / mo","📡 Internet
🙂 Good: 10Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥶 Too cold: 12°C (feels 12°C)","💦 Humidity (now)
😊 Comfy: 52%","💨 Air quality (now)
😷 Unhealthy for some: 143 US AQI","💨 Air quality (annual)
🌱 Good: 62 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $905 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 7k ppl/km² (12x12m)","🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Okay","🏥 Hospitals*
Great","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Bad","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
961,Sharjah,"⭐️ Total score
2.85/5 (Rank #962)
228 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
😙 Affordable: $2,368 / mo","📡 Internet
🏎 Fast: 11Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 29°C (feels 31°C)","💦 Humidity (now)
😊 Comfy: 56%","💨 Air quality (now)
😷 Unhealthy for some: 112 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 137 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Mediocre: $3,135 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay","🏥 Hospitals*
Good","😄 Happiness*
Good","🍸 Nightlife
Bad","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Great","😁 Friendly to foreigners
Great","🗯 Freedom of speech*
Okay","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Okay"
962,San Pedro Sula,"⭐️ Total score
2.85/5 (Rank #963)
191 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,811 / mo","📡 Internet
🙂 Good: 7Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Perfect: 26°C (feels 31°C)","💦 Humidity (now)
😊 Comfy: 100%","💨 Air quality (now)
🌱 Great: 46 US AQI",None,"👌 Safety
Bad","👮‍♀️ Lack of crime*
Very bad","🤝 Lack of racism*
Okay","🎓 Education level*
Low","💰 Income level*
Very low: $197 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad","🏥 Hospitals*
Bad","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Bad",None,None,"🗯 Freedom of speech*
Okay","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
963,Ibiza,"⭐️ Total score
2.85/5 (Rank #964)
219 reviews","👍 Quality of life score
Good","👶 Family score
Okay","💵 Cost
🧐 Pricey: $3,950 / mo","📡 Internet
🏎 Fast: 48Mbps (avg)","😝 Fun
Great","⛅️ Temperature (now)
🥶 A bit cold: 15°C (feels 14°C)","💦 Humidity (now)
💦 Damp: 84%","💨 Air quality (now)
🌱 Great: 23 US AQI","💨 Air quality (annual)
🌱 Great: 18 US AQI","👌 Safety
Good","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Okay","🎓 Education level*
High","💰 Income level*
Mediocre: $2,225 / mo","🙊 English speaking*
Okay",None,"🚶 Walkability
Great","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Okay",None,"😄 Happiness*
Good","🍸 Nightlife
Great","📶 Free WiFi in city
Good","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Good","👩 Female friendly
Good","🌈 LGBTQ+ friendly
Great","🎅 Startup Score
Okay"
964,Maracaibo,"⭐️ Total score
2.85/5 (Rank #965)
193 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,638 / mo","📡 Internet
😡 Slow: 3Mbps (avg)","😝 Fun
Okay","⛅️ Temperature (now)
🥵 Too hot: 31°C (feels 41°C)","💦 Humidity (now)
🥵 Sweaty: 83%","💨 Air quality (now)
🌱 Great: 50 US AQI",None,"👌 Safety
Bad","👮‍♀️ Lack of crime*
Very bad","🤝 Lack of racism*
Okay","🎓 Education level*
Mediocre","💰 Income level*
Very low: $769 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Okay","🖥 Places to work from
Bad","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Okay","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
965,Putian,"⭐️ Total score
2.84/5 (Rank #966)
206 reviews","👍 Quality of life score
Okay","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,822 / mo","📡 Internet
🤬 Unusably slow: 1Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🌞 Nice: 21°C (feels 21°C)","💦 Humidity (now)
😊 Comfy: 81%","💨 Air quality (now)
🌱 Good: 65 US AQI","💨 Air quality (annual)
😐 Moderate: 77 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Great","🤝 Lack of racism*
Bad","🎓 Education level*
Mediocre","💰 Income level*
Very low: $677 / mo","🙊 English speaking*
Bad",None,"🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Okay","😄 Happiness*
Okay","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Bad","😁 Friendly to foreigners
Okay",🗯 Freedom of speech*,"👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
966,Amritsar,"⭐️ Total score
2.84/5 (Rank #967)
207 reviews","👍 Quality of life score
Okay","👶 Family score
Okay","💵 Cost
😝 Cheap: $834 / mo","📡 Internet
🙂 Good: 9Mbps (avg)","😝 Fun
Good","⛅️ Temperature (now)
🌞 Perfect: 23°C (feels 23°C)","💦 Humidity (now)
😊 Comfy: 47%","💨 Air quality (now)
😷 Unhealthy : 198 US AQI","💨 Air quality (annual)
😷 Unhealthy for some: 109 US AQI","👌 Safety
Great","👮‍♀️ Lack of crime*
Good","🤝 Lack of racism*
Bad","🎓 Education level*
Low","💰 Income level*
Very low: $142 / mo","🙊 English speaking*
Good",None,"🚶 Walkability
Bad","✌️ Peace (no pol. conflict)
Bad","🚦 Traffic safety*
Bad",None,"😄 Happiness*
Bad","🍸 Nightlife
Okay","📶 Free WiFi in city
Okay","🖥 Places to work from
Great","❄️ A/C or heating
Good","😁 Friendly to foreigners
Good","🗯 Freedom of speech*
Okay","👩 Female friendly
Okay","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Okay"
967,Dar es Salaam,"⭐️ Total score
2.84/5 (Rank #968)
210 reviews","👍 Quality of life score
Bad","👶 Family score
Bad","💵 Cost
😙 Affordable: $1,465 / mo","📡 Internet
😡 Slow: 2Mbps (avg)","😝 Fun
Bad","⛅️ Temperature (now)
🥵 Too hot: 30°C (feels 37°C)","💦 Humidity (now)
🥵 Sweaty: 80%",None,None,"👌 Safety
🧨 Conflict / political instability*","👮‍♀️ Lack of crime*
Okay","🤝 Lack of racism*
Bad","🎓 Education level*
Low","💰 Income level*
Very low: $73 / mo","🙊 English speaking*
Bad","😤 People density
🧘‍♀️ Low density: 8k ppl/km² (12x12m)","🚶 Walkability
Okay","✌️ Peace (no pol. conflict)
Okay","🚦 Traffic safety*
Bad","🏥 Hospitals*
Bad","😄 Happiness*
Bad","🍸 Nightlife
Bad","📶 Free WiFi in city
Bad","🖥 Places to work from
Great","❄️ A/C or heating
Okay","😁 Friendly to foreigners
Okay","🗯 Freedom of speech*
Good","👩 Female friendly
Bad","🌈 LGBTQ+ friendly
Bad","🎅 Startup Score
Bad"
